date,total_count,lineage_count,lineage,prevalence,prevalence_rolling,Country
2021-05-01,0,0,b.1.617.2,0,0.372881355932203,Iran
2021-05-02,0,0,b.1.617.2,0,0.345911949685535,Iran
2021-05-03,0,0,b.1.617.2,0,0.296703296703297,Iran
2021-05-04,0,0,b.1.617.2,0,0.296296296296296,Iran
2021-05-05,0,0,b.1.617.2,0,0.2,Iran
2021-05-06,0,0,b.1.617.2,0,0.0666666666666667,Iran
2021-05-07,0,0,b.1.617.2,0,0,Iran
2021-05-08,0,0,b.1.617.2,0,0,Iran
2021-05-09,0,0,b.1.617.2,0,0,Iran
2021-05-10,0,0,b.1.617.2,0,0,Iran
2021-05-11,0,0,b.1.617.2,0,0,Iran
2021-05-12,0,0,b.1.617.2,0,0,Iran
2021-05-13,0,0,b.1.617.2,0,0,Iran
2021-05-14,0,0,b.1.617.2,0,0,Iran
2021-05-15,0,0,b.1.617.2,0,0,Iran
2021-05-16,0,0,b.1.617.2,0,0,Iran
2021-05-17,0,0,b.1.617.2,0,0,Iran
2021-05-18,0,0,b.1.617.2,0,0,Iran
2021-05-19,0,0,b.1.617.2,0,0,Iran
2021-05-20,0,0,b.1.617.2,0,0,Iran
2021-05-21,0,0,b.1.617.2,0,0,Iran
2021-05-22,0,0,b.1.617.2,0,0,Iran
2021-05-23,0,0,b.1.617.2,0,0,Iran
2021-05-24,0,0,b.1.617.2,0,0,Iran
2021-05-25,0,0,b.1.617.2,0,0,Iran
2021-05-26,0,0,b.1.617.2,0,0,Iran
2021-05-27,0,0,b.1.617.2,0,0,Iran
2021-05-28,0,0,b.1.617.2,0,0,Iran
2021-05-29,0,0,b.1.617.2,0,0,Iran
2021-05-30,0,0,b.1.617.2,0,0,Iran
2021-05-31,0,0,b.1.617.2,0,0,Iran
2021-06-01,0,0,b.1.617.2,0,0,Iran
2021-06-02,0,0,b.1.617.2,0,0,Iran
2021-06-03,0,0,b.1.617.2,0,0,Iran
2021-06-04,0,0,b.1.617.2,0,0,Iran
2021-06-05,0,0,b.1.617.2,0,0,Iran
2021-06-06,0,0,b.1.617.2,0,0,Iran
2021-06-07,0,0,b.1.617.2,0,0,Iran
2021-06-08,0,0,b.1.617.2,0,0,Iran
2021-06-09,0,0,b.1.617.2,0,0,Iran
2021-06-10,0,0,b.1.617.2,0,0,Iran
2021-06-11,0,0,b.1.617.2,0,0,Iran
2021-06-12,0,0,b.1.617.2,0,0,Iran
2021-06-13,0,0,b.1.617.2,0,0,Iran
2021-06-14,0,0,b.1.617.2,0,0,Iran
2021-06-15,0,0,b.1.617.2,0,0,Iran
2021-06-16,0,0,b.1.617.2,0,0,Iran
2021-06-17,0,0,b.1.617.2,0,0,Iran
2021-06-18,0,0,b.1.617.2,0,0,Iran
2021-06-19,0,0,b.1.617.2,0,0,Iran
2021-06-20,0,0,b.1.617.2,0,0,Iran
2021-06-21,0,0,b.1.617.2,0,0,Iran
2021-06-22,0,0,b.1.617.2,0,0,Iran
2021-06-23,0,0,b.1.617.2,0,0,Iran
2021-06-24,0,0,b.1.617.2,0,0,Iran
2021-06-25,0,0,b.1.617.2,0,0,Iran
2021-06-26,0,0,b.1.617.2,0,0,Iran
2021-06-27,0,0,b.1.617.2,0,0,Iran
2021-06-28,0,0,b.1.617.2,0,0,Iran
2021-06-29,0,0,b.1.617.2,0,0,Iran
2021-06-30,0,0,b.1.617.2,0,0,Iran
2021-07-01,0,0,b.1.617.2,0,0,Iran
2021-07-02,0,0,b.1.617.2,0,0,Iran
2021-07-03,1,1,b.1.617.2,1,0.25,Iran
2021-07-04,1,1,b.1.617.2,1,0.5,Iran
2021-07-05,0,0,b.1.617.2,0,0.181818181818182,Iran
2021-07-06,0,0,b.1.617.2,0,0.148148148148148,Iran
2021-07-07,0,0,b.1.617.2,0,0.226415094339623,Iran
2021-07-08,0,0,b.1.617.2,0,0.328767123287671,Iran
2021-07-09,0,0,b.1.617.2,0,0.388349514563107,Iran
2021-07-10,0,0,b.1.617.2,0,0.280373831775701,Iran
2021-07-11,0,0,b.1.617.2,0,0,Iran
2021-07-12,0,0,b.1.617.2,0,0,Iran
2021-07-13,0,0,b.1.617.2,0,0,Iran
2021-07-14,0,0,b.1.617.2,0,0,Iran
2021-07-15,0,0,b.1.617.2,0,0,Iran
2021-07-16,0,0,b.1.617.2,0,0,Iran
2021-07-17,0,0,b.1.617.2,0,0,Iran
2021-07-18,0,0,b.1.617.2,0,0,Iran
2021-07-19,0,0,b.1.617.2,0,0,Iran
2021-07-20,0,0,b.1.617.2,0,0,Iran
2021-07-21,0,0,b.1.617.2,0,0,Iran
2021-07-22,0,0,b.1.617.2,0,0,Iran
2021-07-23,0,0,b.1.617.2,0,0,Iran
2021-07-24,0,0,b.1.617.2,0,0,Iran
2021-07-25,0,0,b.1.617.2,0,0,Iran
2021-07-26,0,0,b.1.617.2,0,0,Iran
2021-07-27,0,0,b.1.617.2,0,0,Iran
2021-07-28,0,0,b.1.617.2,0,0,Iran
2021-07-29,0,0,b.1.617.2,0,0,Iran
2021-07-30,0,0,b.1.617.2,0,0,Iran
2021-07-31,0,0,b.1.617.2,0,0,Iran
2021-08-01,0,0,b.1.617.2,0,0,Iran
2021-08-02,0,0,b.1.617.2,0,0,Iran
2021-08-03,0,0,b.1.617.2,0,0,Iran
2021-08-04,0,0,b.1.617.2,0,0,Iran
2021-08-05,0,0,b.1.617.2,0,0,Iran
2021-08-06,0,0,b.1.617.2,0,0,Iran
2021-08-07,0,0,b.1.617.2,0,0,Iran
2021-08-08,0,0,b.1.617.2,0,0,Iran
2021-08-09,0,0,b.1.617.2,0,0,Iran
2021-08-10,0,0,b.1.617.2,0,0,Iran
2021-08-11,0,0,b.1.617.2,0,0,Iran
2021-08-12,0,0,b.1.617.2,0,0,Iran
2021-08-13,0,0,b.1.617.2,0,0,Iran
2021-08-14,0,0,b.1.617.2,0,0,Iran
2021-08-15,0,0,b.1.617.2,0,0,Iran
2021-08-16,0,0,b.1.617.2,0,0,Iran
2021-08-17,0,0,b.1.617.2,0,0,Iran
2021-08-18,0,0,b.1.617.2,0,0,Iran
2021-08-19,0,0,b.1.617.2,0,0,Iran
2021-08-20,0,0,b.1.617.2,0,0,Iran
2021-08-21,0,0,b.1.617.2,0,0,Iran
2021-08-22,0,0,b.1.617.2,0,0,Iran
2021-08-23,0,0,b.1.617.2,0,0,Iran
2021-08-24,0,0,b.1.617.2,0,0,Iran
2021-08-25,0,0,b.1.617.2,0,0,Iran
2021-08-26,0,0,b.1.617.2,0,0,Iran
2021-08-27,0,0,b.1.617.2,0,0,Iran
2021-08-28,0,0,b.1.617.2,0,0,Iran
2021-08-29,0,0,b.1.617.2,0,0,Iran
2021-08-30,0,0,b.1.617.2,0,0,Iran
2021-08-31,0,0,b.1.617.2,0,0,Iran
2021-09-01,0,0,b.1.617.2,0,0,Iran
2021-09-02,0,0,b.1.617.2,0,0,Iran
2021-09-03,2,2,b.1.617.2,1,0.4,Iran
2021-09-04,0,0,b.1.617.2,0,0.5,Iran
2021-09-05,0,0,b.1.617.2,0,0.4,Iran
2021-09-06,0,0,b.1.617.2,0,0.4,Iran
2021-09-07,0,0,b.1.617.2,0,0.5,Iran
2021-09-08,0,0,b.1.617.2,0,0.166666666666667,Iran
2021-09-09,0,0,b.1.617.2,0,0.5,Iran
2021-09-10,0,0,b.1.617.2,0,0,Iran
2021-09-11,0,0,b.1.617.2,0,0,Iran
2021-09-12,0,0,b.1.617.2,0,0,Iran
2021-09-13,0,0,b.1.617.2,0,0,Iran
2021-09-14,0,0,b.1.617.2,0,0,Iran
2021-09-15,0,0,b.1.617.2,0,0,Iran
2021-09-16,0,0,b.1.617.2,0,0,Iran
2021-09-17,0,0,b.1.617.2,0,0,Iran
2021-09-18,0,0,b.1.617.2,0,0,Iran
2021-09-19,0,0,b.1.617.2,0,0,Iran
2021-09-20,1,1,b.1.617.2,1,0.5,Iran
2020-06-15,4,1,b.1.9.5,0.25,0.368421052631579,Iran
2020-06-16,0,0,b.1.9.5,0,0.233333333333333,Iran
2020-06-17,0,0,b.1.9.5,0,0.2,Iran
2020-06-18,0,0,b.1.9.5,0,0.205882352941177,Iran
2020-06-19,0,0,b.1.9.5,0,0.17948717948718,Iran
2020-06-20,0,0,b.1.9.5,0,0.14,Iran
2020-06-21,0,0,b.1.9.5,0,0.125,Iran
2020-06-22,0,0,b.1.9.5,0,0,Iran
2020-06-23,0,0,b.1.9.5,0,0,Iran
2020-06-24,0,0,b.1.9.5,0,0,Iran
2020-06-25,0,0,b.1.9.5,0,0,Iran
2020-06-26,0,0,b.1.9.5,0,0,Iran
2020-06-27,0,0,b.1.9.5,0,0,Iran
2020-06-28,0,0,b.1.9.5,0,0,Iran
2020-06-29,0,0,b.1.9.5,0,0,Iran
2020-06-30,0,0,b.1.9.5,0,0,Iran
2020-07-01,0,0,b.1.9.5,0,0,Iran
2020-07-02,1,1,b.1.9.5,1,0.294117647058824,Iran
2020-07-03,0,0,b.1.9.5,0,0.461538461538462,Iran
2020-07-04,0,0,b.1.9.5,0,0.333333333333333,Iran
2020-07-05,0,0,b.1.9.5,0,0.25,Iran
2020-07-06,0,0,b.1.9.5,0,0.25,Iran
2020-07-07,0,0,b.1.9.5,0,0.25,Iran
2020-07-08,0,0,b.1.9.5,0,0.25,Iran
2020-07-09,0,0,b.1.9.5,0,0,Iran
2020-07-10,0,0,b.1.9.5,0,0,Iran
2020-07-11,0,0,b.1.9.5,0,0,Iran
2020-07-12,0,0,b.1.9.5,0,0,Iran
2020-07-13,0,0,b.1.9.5,0,0,Iran
2020-07-14,0,0,b.1.9.5,0,0,Iran
2020-07-15,0,0,b.1.9.5,0,0,Iran
2020-07-16,0,0,b.1.9.5,0,0,Iran
2020-07-17,0,0,b.1.9.5,0,0,Iran
2020-07-18,0,0,b.1.9.5,0,0,Iran
2020-07-19,0,0,b.1.9.5,0,0,Iran
2020-07-20,0,0,b.1.9.5,0,0,Iran
2020-07-21,0,0,b.1.9.5,0,0,Iran
2020-07-22,0,0,b.1.9.5,0,0,Iran
2020-07-23,0,0,b.1.9.5,0,0,Iran
2020-07-24,0,0,b.1.9.5,0,0,Iran
2020-07-25,0,0,b.1.9.5,0,0,Iran
2020-07-26,0,0,b.1.9.5,0,0,Iran
2020-07-27,0,0,b.1.9.5,0,0,Iran
2020-07-28,0,0,b.1.9.5,0,0,Iran
2020-07-29,0,0,b.1.9.5,0,0,Iran
2020-07-30,0,0,b.1.9.5,0,0,Iran
2020-07-31,0,0,b.1.9.5,0,0,Iran
2020-08-01,0,0,b.1.9.5,0,0,Iran
2020-08-02,0,0,b.1.9.5,0,0,Iran
2020-08-03,0,0,b.1.9.5,0,0,Iran
2020-08-04,0,0,b.1.9.5,0,0,Iran
2020-08-05,0,0,b.1.9.5,0,0,Iran
2020-08-06,0,0,b.1.9.5,0,0,Iran
2020-08-07,0,0,b.1.9.5,0,0,Iran
2020-08-08,0,0,b.1.9.5,0,0,Iran
2020-08-09,0,0,b.1.9.5,0,0,Iran
2020-08-10,0,0,b.1.9.5,0,0,Iran
2020-08-11,0,0,b.1.9.5,0,0,Iran
2020-08-12,0,0,b.1.9.5,0,0,Iran
2020-08-13,0,0,b.1.9.5,0,0,Iran
2020-08-14,0,0,b.1.9.5,0,0,Iran
2020-08-15,0,0,b.1.9.5,0,0,Iran
2020-08-16,0,0,b.1.9.5,0,0,Iran
2020-08-17,0,0,b.1.9.5,0,0,Iran
2020-08-18,1,1,b.1.9.5,1,0.222222222222222,Iran
2020-08-19,0,0,b.1.9.5,0,0.3,Iran
2020-08-20,0,0,b.1.9.5,0,0.210526315789474,Iran
2020-08-21,0,0,b.1.9.5,0,0.227272727272727,Iran
2020-08-22,0,0,b.1.9.5,0,0.0821917808219178,Iran
2020-08-23,0,0,b.1.9.5,0,0.117647058823529,Iran
2020-08-24,0,0,b.1.9.5,0,0.157894736842105,Iran
2020-08-25,0,0,b.1.9.5,0,0,Iran
2020-08-26,0,0,b.1.9.5,0,0,Iran
2020-08-27,0,0,b.1.9.5,0,0,Iran
2020-08-28,0,0,b.1.9.5,0,0,Iran
2020-08-29,0,0,b.1.9.5,0,0,Iran
2020-08-30,0,0,b.1.9.5,0,0,Iran
2020-08-31,0,0,b.1.9.5,0,0,Iran
2020-09-01,0,0,b.1.9.5,0,0,Iran
2020-09-02,0,0,b.1.9.5,0,0,Iran
2020-09-03,0,0,b.1.9.5,0,0,Iran
2020-09-04,0,0,b.1.9.5,0,0,Iran
2020-09-05,0,0,b.1.9.5,0,0,Iran
2020-09-06,0,0,b.1.9.5,0,0,Iran
2020-09-07,0,0,b.1.9.5,0,0,Iran
2020-09-08,0,0,b.1.9.5,0,0,Iran
2020-09-09,0,0,b.1.9.5,0,0,Iran
2020-09-10,0,0,b.1.9.5,0,0,Iran
2020-09-11,0,0,b.1.9.5,0,0,Iran
2020-09-12,0,0,b.1.9.5,0,0,Iran
2020-09-13,0,0,b.1.9.5,0,0,Iran
2020-09-14,0,0,b.1.9.5,0,0,Iran
2020-09-15,0,0,b.1.9.5,0,0,Iran
2020-09-16,0,0,b.1.9.5,0,0,Iran
2020-09-17,0,0,b.1.9.5,0,0,Iran
2020-09-18,0,0,b.1.9.5,0,0,Iran
2020-09-19,0,0,b.1.9.5,0,0,Iran
2020-09-20,0,0,b.1.9.5,0,0,Iran
2020-09-21,0,0,b.1.9.5,0,0,Iran
2020-09-22,0,0,b.1.9.5,0,0,Iran
2020-09-23,0,0,b.1.9.5,0,0,Iran
2020-09-24,0,0,b.1.9.5,0,0,Iran
2020-09-25,0,0,b.1.9.5,0,0,Iran
2020-09-26,0,0,b.1.9.5,0,0,Iran
2020-09-27,0,0,b.1.9.5,0,0,Iran
2020-09-28,0,0,b.1.9.5,0,0,Iran
2020-09-29,0,0,b.1.9.5,0,0,Iran
2020-09-30,0,0,b.1.9.5,0,0,Iran
2020-10-01,0,0,b.1.9.5,0,0,Iran
2020-10-02,0,0,b.1.9.5,0,0,Iran
2020-10-03,0,0,b.1.9.5,0,0,Iran
2020-10-04,0,0,b.1.9.5,0,0,Iran
2020-10-05,0,0,b.1.9.5,0,0,Iran
2020-10-06,0,0,b.1.9.5,0,0,Iran
2020-10-07,0,0,b.1.9.5,0,0,Iran
2020-10-08,0,0,b.1.9.5,0,0,Iran
2020-10-09,0,0,b.1.9.5,0,0,Iran
2020-10-10,0,0,b.1.9.5,0,0,Iran
2020-10-11,0,0,b.1.9.5,0,0,Iran
2020-10-12,0,0,b.1.9.5,0,0,Iran
2020-10-13,0,0,b.1.9.5,0,0,Iran
2020-10-14,0,0,b.1.9.5,0,0,Iran
2020-10-15,0,0,b.1.9.5,0,0,Iran
2020-10-16,0,0,b.1.9.5,0,0,Iran
2020-10-17,0,0,b.1.9.5,0,0,Iran
2020-10-18,0,0,b.1.9.5,0,0,Iran
2020-10-19,0,0,b.1.9.5,0,0,Iran
2020-10-20,0,0,b.1.9.5,0,0,Iran
2020-10-21,0,0,b.1.9.5,0,0,Iran
2020-10-22,0,0,b.1.9.5,0,0,Iran
2020-10-23,0,0,b.1.9.5,0,0,Iran
2020-10-24,0,0,b.1.9.5,0,0,Iran
2020-10-25,0,0,b.1.9.5,0,0,Iran
2020-10-26,0,0,b.1.9.5,0,0,Iran
2020-10-27,0,0,b.1.9.5,0,0,Iran
2020-10-28,0,0,b.1.9.5,0,0,Iran
2020-10-29,0,0,b.1.9.5,0,0,Iran
2020-10-30,0,0,b.1.9.5,0,0,Iran
2020-10-31,0,0,b.1.9.5,0,0,Iran
2020-11-01,0,0,b.1.9.5,0,0,Iran
2020-11-02,0,0,b.1.9.5,0,0,Iran
2020-11-03,0,0,b.1.9.5,0,0,Iran
2020-11-04,0,0,b.1.9.5,0,0,Iran
2020-11-05,0,0,b.1.9.5,0,0,Iran
2020-11-06,0,0,b.1.9.5,0,0,Iran
2020-11-07,0,0,b.1.9.5,0,0,Iran
2020-11-08,0,0,b.1.9.5,0,0,Iran
2020-11-09,0,0,b.1.9.5,0,0,Iran
2020-11-10,0,0,b.1.9.5,0,0,Iran
2020-11-11,0,0,b.1.9.5,0,0,Iran
2020-11-12,0,0,b.1.9.5,0,0,Iran
2020-11-13,0,0,b.1.9.5,0,0,Iran
2020-11-14,0,0,b.1.9.5,0,0,Iran
2020-11-15,0,0,b.1.9.5,0,0,Iran
2020-11-16,0,0,b.1.9.5,0,0,Iran
2020-11-17,0,0,b.1.9.5,0,0,Iran
2020-11-18,0,0,b.1.9.5,0,0,Iran
2020-11-19,0,0,b.1.9.5,0,0,Iran
2020-11-20,0,0,b.1.9.5,0,0,Iran
2020-11-21,0,0,b.1.9.5,0,0,Iran
2020-11-22,0,0,b.1.9.5,0,0,Iran
2020-11-23,0,0,b.1.9.5,0,0,Iran
2020-11-24,0,0,b.1.9.5,0,0,Iran
2020-11-25,0,0,b.1.9.5,0,0,Iran
2020-11-26,0,0,b.1.9.5,0,0,Iran
2020-11-27,0,0,b.1.9.5,0,0,Iran
2020-11-28,0,0,b.1.9.5,0,0,Iran
2020-11-29,0,0,b.1.9.5,0,0,Iran
2020-11-30,0,0,b.1.9.5,0,0,Iran
2020-12-01,0,0,b.1.9.5,0,0,Iran
2020-12-02,0,0,b.1.9.5,0,0,Iran
2020-12-03,0,0,b.1.9.5,0,0,Iran
2020-12-04,0,0,b.1.9.5,0,0,Iran
2020-12-05,0,0,b.1.9.5,0,0,Iran
2020-12-06,0,0,b.1.9.5,0,0,Iran
2020-12-07,0,0,b.1.9.5,0,0,Iran
2020-12-08,0,0,b.1.9.5,0,0,Iran
2020-12-09,0,0,b.1.9.5,0,0,Iran
2020-12-10,0,0,b.1.9.5,0,0,Iran
2020-12-11,0,0,b.1.9.5,0,0,Iran
2020-12-12,0,0,b.1.9.5,0,0,Iran
2020-12-13,0,0,b.1.9.5,0,0,Iran
2020-12-14,0,0,b.1.9.5,0,0,Iran
2020-12-15,0,0,b.1.9.5,0,0,Iran
2020-12-16,0,0,b.1.9.5,0,0,Iran
2020-12-17,0,0,b.1.9.5,0,0,Iran
2020-12-18,0,0,b.1.9.5,0,0,Iran
2020-12-19,0,0,b.1.9.5,0,0,Iran
2020-12-20,0,0,b.1.9.5,0,0,Iran
2020-12-21,0,0,b.1.9.5,0,0,Iran
2020-12-22,0,0,b.1.9.5,0,0,Iran
2020-12-23,0,0,b.1.9.5,0,0,Iran
2020-12-24,0,0,b.1.9.5,0,0,Iran
2020-12-25,0,0,b.1.9.5,0,0,Iran
2020-12-26,0,0,b.1.9.5,0,0,Iran
2020-12-27,0,0,b.1.9.5,0,0,Iran
2020-12-28,0,0,b.1.9.5,0,0,Iran
2020-12-29,0,0,b.1.9.5,0,0,Iran
2020-12-30,0,0,b.1.9.5,0,0,Iran
2020-12-31,0,0,b.1.9.5,0,0,Iran
2021-01-01,0,0,b.1.9.5,0,0,Iran
2021-01-02,0,0,b.1.9.5,0,0,Iran
2021-01-03,0,0,b.1.9.5,0,0,Iran
2021-01-04,0,0,b.1.9.5,0,0,Iran
2021-01-05,0,0,b.1.9.5,0,0,Iran
2021-01-06,0,0,b.1.9.5,0,0,Iran
2021-01-07,0,0,b.1.9.5,0,0,Iran
2021-01-08,0,0,b.1.9.5,0,0,Iran
2021-01-09,0,0,b.1.9.5,0,0,Iran
2021-01-10,0,0,b.1.9.5,0,0,Iran
2021-01-11,0,0,b.1.9.5,0,0,Iran
2021-01-12,0,0,b.1.9.5,0,0,Iran
2021-01-13,0,0,b.1.9.5,0,0,Iran
2021-01-14,0,0,b.1.9.5,0,0,Iran
2021-01-15,48,1,b.1.9.5,0.0208333333333333,0.0144927536231884,Iran
2021-01-16,0,0,b.1.9.5,0,0.0181818181818182,Iran
2021-01-17,0,0,b.1.9.5,0,0.0189873417721519,Iran
2021-01-18,0,0,b.1.9.5,0,0.0198019801980198,Iran
2021-01-19,0,0,b.1.9.5,0,0.0193050193050193,Iran
2021-01-20,0,0,b.1.9.5,0,0.0177514792899408,Iran
2021-01-21,0,0,b.1.9.5,0,0.02,Iran
2021-01-22,0,0,b.1.9.5,0,0,Iran
2021-01-23,0,0,b.1.9.5,0,0,Iran
2021-01-24,0,0,b.1.9.5,0,0,Iran
2021-01-25,0,0,b.1.9.5,0,0,Iran
2021-01-26,0,0,b.1.9.5,0,0,Iran
2021-01-27,0,0,b.1.9.5,0,0,Iran
2021-01-28,0,0,b.1.9.5,0,0,Iran
2021-01-29,0,0,b.1.9.5,0,0,Iran
2021-01-30,0,0,b.1.9.5,0,0,Iran
2021-01-31,0,0,b.1.9.5,0,0,Iran
2021-02-01,14,1,b.1.9.5,0.0714285714285714,0.0227272727272727,Iran
2021-02-02,0,0,b.1.9.5,0,0.0277777777777778,Iran
2021-02-03,0,0,b.1.9.5,0,0.0238095238095238,Iran
2021-02-04,0,0,b.1.9.5,0,0.0294117647058824,Iran
2021-02-05,0,0,b.1.9.5,0,0.032258064516129,Iran
2021-02-06,0,0,b.1.9.5,0,0.03125,Iran
2021-02-07,0,0,b.1.9.5,0,0.0377358490566038,Iran
2021-02-08,0,0,b.1.9.5,0,0,Iran
2021-02-09,0,0,b.1.9.5,0,0,Iran
2021-02-10,0,0,b.1.9.5,0,0,Iran
2021-02-11,0,0,b.1.9.5,0,0,Iran
2021-02-12,0,0,b.1.9.5,0,0,Iran
2021-02-13,0,0,b.1.9.5,0,0,Iran
2021-02-14,0,0,b.1.9.5,0,0,Iran
2021-02-15,0,0,b.1.9.5,0,0,Iran
2021-02-16,0,0,b.1.9.5,0,0,Iran
2021-02-17,0,0,b.1.9.5,0,0,Iran
2021-02-18,0,0,b.1.9.5,0,0,Iran
2021-02-19,0,0,b.1.9.5,0,0,Iran
2021-02-20,9,1,b.1.9.5,0.111111111111111,0.0526315789473684,Iran
2020-02-20,2,2,b.4,1,1,Iran
2020-02-21,0,0,b.4,0,1,Iran
2020-02-22,0,0,b.4,0,1,Iran
2020-02-23,0,0,b.4,0,1,Iran
2020-02-24,0,0,b.4,0,1,Iran
2020-02-25,0,0,b.4,0,1,Iran
2020-02-26,0,0,b.4,0,1,Iran
2020-02-27,0,0,b.4,0,0,Iran
2020-02-28,0,0,b.4,0,0,Iran
2020-02-29,1,1,b.4,1,1,Iran
2020-03-01,0,0,b.4,0,1,Iran
2020-03-02,1,1,b.4,1,1,Iran
2020-03-03,0,0,b.4,0,1,Iran
2020-03-04,0,0,b.4,0,1,Iran
2020-03-05,1,1,b.4,1,1,Iran
2020-03-06,0,0,b.4,0,1,Iran
2020-03-07,1,1,b.4,1,1,Iran
2020-03-08,1,1,b.4,1,1,Iran
2020-03-09,3,3,b.4,1,1,Iran
2020-03-10,6,6,b.4,1,1,Iran
2020-03-11,0,0,b.4,0,1,Iran
2020-03-12,0,0,b.4,0,1,Iran
2020-03-13,0,0,b.4,0,1,Iran
2020-03-14,1,1,b.4,1,1,Iran
2020-03-15,0,0,b.4,0,1,Iran
2020-03-16,1,1,b.4,1,1,Iran
2020-03-17,0,0,b.4,0,1,Iran
2020-03-18,1,1,b.4,1,1,Iran
2020-03-19,0,0,b.4,0,1,Iran
2020-03-20,0,0,b.4,0,1,Iran
2020-03-21,0,0,b.4,0,1,Iran
2020-03-22,0,0,b.4,0,1,Iran
2020-03-23,0,0,b.4,0,1,Iran
2020-03-24,1,1,b.4,1,1,Iran
2020-03-25,0,0,b.4,0,1,Iran
2020-03-26,4,4,b.4,1,1,Iran
2020-03-27,0,0,b.4,0,1,Iran
2020-03-28,2,2,b.4,1,1,Iran
2020-03-29,0,0,b.4,0,1,Iran
2020-03-30,0,0,b.4,0,1,Iran
2020-03-31,0,0,b.4,0,1,Iran
2020-04-01,1,1,b.4,1,1,Iran
2020-04-02,0,0,b.4,0,1,Iran
2020-04-03,1,1,b.4,1,1,Iran
2020-04-04,0,0,b.4,0,1,Iran
2020-04-05,0,0,b.4,0,1,Iran
2020-04-06,4,4,b.4,1,1,Iran
2020-04-07,0,0,b.4,0,1,Iran
2020-04-08,0,0,b.4,0,1,Iran
2020-04-09,0,0,b.4,0,1,Iran
2020-04-10,0,0,b.4,0,1,Iran
2020-04-11,1,1,b.4,1,1,Iran
2020-04-12,0,0,b.4,0,1,Iran
2020-04-13,2,2,b.4,1,1,Iran
2020-04-14,0,0,b.4,0,1,Iran
2020-04-15,0,0,b.4,0,1,Iran
2020-04-16,0,0,b.4,0,1,Iran
2020-04-17,0,0,b.4,0,1,Iran
2020-04-18,1,1,b.4,1,1,Iran
2020-04-19,0,0,b.4,0,1,Iran
2020-04-20,1,1,b.4,1,1,Iran
2020-04-21,0,0,b.4,0,1,Iran
2020-04-22,1,1,b.4,1,1,Iran
2020-04-23,0,0,b.4,0,1,Iran
2020-04-24,0,0,b.4,0,1,Iran
2020-04-25,0,0,b.4,0,1,Iran
2020-04-26,1,1,b.4,1,1,Iran
2020-04-27,0,0,b.4,0,1,Iran
2020-04-28,1,1,b.4,1,1,Iran
2020-04-29,0,0,b.4,0,1,Iran
2020-04-30,1,1,b.4,1,1,Iran
2020-05-01,0,0,b.4,0,0.125,Iran
2020-05-02,0,0,b.4,0,0.461538461538462,Iran
2020-05-03,0,0,b.4,0,0.461538461538462,Iran
2020-05-04,0,0,b.4,0,0.533333333333333,Iran
2020-05-05,1,1,b.4,1,0.588235294117647,Iran
2020-05-06,3,2,b.4,0.666666666666667,0.631578947368421,Iran
2020-05-07,1,1,b.4,1,0.666666666666667,Iran
2020-05-08,2,2,b.4,1,0.857142857142857,Iran
2020-05-09,0,0,b.4,0,0.857142857142857,Iran
2020-05-10,0,0,b.4,0,0.857142857142857,Iran
2020-05-11,1,1,b.4,1,0.875,Iran
2020-05-12,0,0,b.4,0,0.857142857142857,Iran
2020-05-13,1,1,b.4,1,1,Iran
2020-05-14,0,0,b.4,0,1,Iran
2020-05-15,0,0,b.4,0,1,Iran
2020-05-16,0,0,b.4,0,1,Iran
2020-05-17,3,2,b.4,0.666666666666667,0.363636363636364,Iran
2020-05-18,0,0,b.4,0,0.222222222222222,Iran
2020-05-19,0,0,b.4,0,0.189473684210526,Iran
2020-05-20,1,1,b.4,1,0.283464566929134,Iran
2020-05-21,0,0,b.4,0,0.353634577603143,Iran
2020-05-22,0,0,b.4,0,0.41002277904328,Iran
2020-05-23,0,0,b.4,0,0.456852791878173,Iran
2020-05-24,0,0,b.4,0,0.315789473684211,Iran
2020-05-25,0,0,b.4,0,0.5,Iran
2020-05-26,0,0,b.4,0,1,Iran
2020-05-27,1,1,b.4,1,1,Iran
2020-05-28,0,0,b.4,0,1,Iran
2020-05-29,1,1,b.4,1,1,Iran
2020-05-30,0,0,b.4,0,1,Iran
2020-05-31,0,0,b.4,0,1,Iran
2020-06-01,1,1,b.4,1,1,Iran
2020-06-02,0,0,b.4,0,1,Iran
2020-06-03,1,1,b.4,1,1,Iran
2020-06-04,0,0,b.4,0,1,Iran
2020-06-05,0,0,b.4,0,1,Iran
2020-06-06,0,0,b.4,0,1,Iran
2020-06-07,0,0,b.4,0,0.666666666666667,Iran
2020-06-08,0,0,b.4,0,0.5,Iran
2020-06-09,0,0,b.4,0,0.5,Iran
2020-06-10,1,1,b.4,1,0.5,Iran
2020-06-11,2,1,b.4,0.5,0.5,Iran
2020-06-12,0,0,b.4,0,0.5,Iran
2020-06-13,0,0,b.4,0,0.5,Iran
2020-06-14,0,0,b.4,0,0.666666666666667,Iran
2020-06-15,4,1,b.4,0.25,0.157894736842105,Iran
2020-06-16,3,1,b.4,0.333333333333333,0.266666666666667,Iran
2020-06-17,0,0,b.4,0,0.257142857142857,Iran
2020-06-18,0,0,b.4,0,0.235294117647059,Iran
2020-06-19,0,0,b.4,0,0.256410256410256,Iran
2020-06-20,0,0,b.4,0,0.24,Iran
2020-06-21,0,0,b.4,0,0.25,Iran
